Time_ms,add1,load1,nop1,udiv1
20921,3727.54242,3746.96632,3750.2489899996986,3561.2138099998856
20922,3727.71918,3747.14628,3750.4279699996982,3561.3862699998854
20923,3727.89594,3747.32841,3750.6078399996986,3561.558819999885
20924,3728.07594,3747.50739,3750.7856699996983,3561.728209999885
20925,3728.25701,3747.68633,3750.9624299996985,3561.898579999885
20926,3728.43484,3747.87064,3751.1392399996985,3562.070019999885
20927,3728.61373,3748.04851,3751.3192399996974,3562.238349999885
20928,3728.79364,3748.22851,3751.499239999698,3562.406639999885
20929,3728.97142,3748.40856,3751.679199999698,3562.578079999885
20930,3729.14823,3748.58422,3751.856979999698,3562.748539999885
20931,3729.32504,3748.76427,3752.039249999698,3562.920059999885
20932,3729.50185,3748.94103,3752.215029999698,3563.091499999885
20933,3729.67972,3749.11788,3752.392859999698,3563.260809999885
20934,3729.85653,3749.2958,3752.5717999996978,3563.431179999885
20935,3730.03445,3749.47358,3752.7485599996976,3563.599509999885
20936,3730.21334,3749.65034,3752.9285599996974,3563.770949999885
20937,3730.39232,3749.83136,3753.108559999697,3563.942519999885
20938,3730.56589,3750.01234,3753.288519999697,3564.110759999885
20939,3730.747,3750.18902,3753.468519999697,3564.283259999885
20940,3730.92385,3750.36902,3753.647409999697,3564.454699999885
20941,3731.10066,3750.54485,3753.826389999697,3564.626219999885
20942,3731.27738,3750.72379,3754.004259999697,3564.795609999885
20943,3731.45419,3750.90481,3754.186349999697,3564.961889999885
20944,3731.63317,3751.08481,3754.364269999697,3565.132349999885
20945,3731.81535,3751.26259,3754.544269999697,3565.303789999885
20946,3731.99429,3751.4425,3754.726399999697,3565.4742499998847
20947,3732.17318,3751.6225,3754.908489999697,3565.6447099998845
20948,3732.35323,3751.80033,3755.0841899996967,3565.8150799998843
20949,3732.53115,3751.98144,3755.266279999697,3565.9843899998846
20950,3732.70902,3752.15829,3755.443089999696,3566.153699999885
20951,3732.88791,3752.33514,3755.619939999696,3566.329529999885
20952,3733.06578,3752.50986,3755.803179999696,3566.496709999885
20953,3733.24463,3752.69088,3755.984199999696,3566.6671699998847
20954,3733.42352,3752.86986,3756.163179999696,3566.8354999998846
20955,3733.60139,3753.05204,3756.343229999696,3567.0037399998846
20956,3733.78135,3753.23426,3756.523189999696,3567.1762899998844
20957,3733.96029,3753.41324,3756.699949999696,3567.346749999884
20958,3734.14136,3753.59102,3756.878929999696,3567.517209999884
20959,3734.32229,3753.76987,3757.059949999696,3567.687629999884
20960,3734.50442,3753.94885,3757.238839999696,3567.859239999884
20961,3734.68234,3754.12672,3757.420879999696,3568.030679999884
20962,3734.85599,3754.30561,3757.598619999696,3568.198919999884
20963,3735.0348,3754.48237,3757.7775099996966,3568.368349999884
20964,3735.21476,3754.66126,3757.958619999697,3568.5365899998837
20965,3735.39378,3754.84015,3758.139729999697,3568.7102899998836
20966,3735.57059,3755.01807,3758.3174699996966,3568.8796799998836
20967,3735.74735,3755.19803,3758.496279999697,3569.0489499998835
20968,3735.92411,3755.37266,3758.676329999697,3569.2182199998833
20969,3736.101,3755.54947,3758.8553099996966,3569.3896599998834
20970,3736.27678,3755.72615,3759.032069999696,3569.5621599998835
20971,3736.45363,3755.90398,3759.209899999697,3569.7325799998835
20972,3736.63257,3756.08283,3759.386749999696,3569.9029499998833
20973,3736.81044,3756.26168,3759.563599999696,3570.0744299998833
20974,3736.98725,3756.44053,3759.740409999696,3570.2438199998833
20975,3737.16738,3756.62151,3759.918239999696,3570.4120199998833
20976,3737.34419,3756.80573,3760.096019999696,3570.579239999883
20977,3737.52632,3756.98564,3760.272699999696,3570.750719999883
20978,3737.70841,3757.16347,3760.448399999696,3570.922079999883
20979,3737.8905,3757.34232,3760.629509999696,3571.092539999883
20980,3738.07259,3757.5233,3760.811689999696,3571.2597199998827
20981,3738.25055,3757.70437,3760.989519999696,3571.4301799998825
20982,3738.42944,3757.88326,3761.168409999696,3571.5995699998825
20983,3738.6062,3758.06215,3761.347349999696,3571.7688799998828
20984,3738.7862,3758.24313,3761.528369999696,3571.9371199998827
20985,3738.96505,3758.42411,3761.711519999696,3572.1074899998825
20986,3739.1439,3758.60296,3761.893609999696,3572.2789299998826
20987,3739.32288,3758.78194,3762.0735699996953,3572.4504099998826
20988,3739.50182,3758.9587,3762.2536199996953,3572.6208699998824
20989,3739.68071,3759.13866,3762.434599999696,3572.7913299998822
20990,3739.85863,3759.31436,3762.613449999695,3572.965959999882
20991,3740.03752,3759.49104,3762.7954899996953,3573.1341599998823
20992,3740.21428,3759.66772,3762.977579999695,3573.3046599998825
20993,3740.391,3759.84657,3763.159669999695,3573.4749899998824
20994,3740.56572,3760.02546,3763.339629999695,3573.645449999882
20995,3740.7479,3760.2044,3763.521759999695,3573.815909999882
20996,3740.93003,3760.38334,3763.700699999695,3573.986199999882
20997,3741.10999,3760.56343,3763.879589999695,3574.154529999882
20998,3741.28897,3760.74241,3764.058479999695,3574.325969999882
20999,3741.46356,3760.91824,3764.239549999695,3574.498519999882
21000,3741.64028,3761.09713,3764.4216799996952,3574.672049999882
21001,3741.8213,3761.27709,3764.603859999695,3574.844639999882
21002,3742.00135,3761.45705,3764.782749999695,3575.015009999882
21003,3742.17816,3761.63603,3764.9573399996953,3575.1853799998817
21004,3742.3571,3761.81488,3765.137299999695,3575.354689999882
21005,3742.53604,3761.99266,3765.318409999695,3575.524079999882
