Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
0.769,5.09875,0.00627,1.90867,1.51014,0.03198,1e-05,0.0,
0.77,5.1,0.00544,1.53215,0.01059,0.02773,1e-05,0.0,
0.771,5.09875,0.00585,2.18983,2.70408,0.02985,1e-05,0.0,
0.772,5.09875,0.00565,1.31781,0.80519,0.02879,1e-05,0.0,
0.773,5.0975,0.00523,1.99261,0.01304,0.02665,1e-05,0.0,
0.774,5.10125,0.00565,2.69756,2.34305,0.0288,1e-05,0.0,
0.775,5.09875,0.00523,2.69756,2.34305,0.02665,1e-05,0.0,
0.776,5.09875,0.00544,1.19227,1.34955,0.02772,1e-05,0.0,
0.777,5.09875,0.00544,2.39676,1.5264,0.02772,1e-05,0.0,
0.778,5.09875,0.00544,1.42045,0.01141,0.02772,1e-05,0.0,
0.779,5.1,0.00523,2.03085,0.02934,0.02666,1e-05,0.0,
0.78,5.10125,0.00565,3.0259,1.77496,0.0288,1e-05,0.0,
0.781,5.1,0.00544,0.7905,1.29251,0.02773,1e-05,0.0,
0.782,5.1,0.00523,3.10088,0.01385,0.02666,1e-05,0.0,
0.783,5.10125,0.00606,1.92654,0.02037,0.03093,1e-05,0.0,
0.784,5.09875,0.00502,2.12783,0.00815,0.02559,1e-05,0.0,
0.785,5.09875,0.00544,2.32586,1.02194,0.02772,1e-05,0.0,
0.786,5.0975,0.00544,2.32586,1.02194,0.02771,1e-05,0.0,
0.787,5.09875,0.00585,0.76768,1.19553,0.02985,1e-05,0.0,
0.788,5.09875,0.00544,2.7203,1.81163,0.02772,1e-05,0.0,
0.789,5.1,0.00544,1.3846,0.04808,0.02773,1e-05,0.0,
0.79,5.10125,0.00585,2.16614,1.50847,0.02987,1e-05,0.0,
0.791,5.10125,0.00481,3.19623,0.00652,0.02453,1e-05,0.0,
0.792,5.09875,0.00544,2.9493,2.92485,0.02772,1e-05,0.0,
0.793,5.0975,0.00523,1.45957,0.01467,0.02665,1e-05,0.0,
0.794,5.0975,0.00544,3.12126,0.13773,0.02771,1e-05,0.0,
0.795,5.09625,0.00544,2.40003,0.01222,0.02771,1e-05,0.0,
0.796,5.0975,0.00585,3.11718,0.55661,0.02984,1e-05,0.0,
0.797,5.1,0.00523,3.11718,0.55661,0.02666,1e-05,0.0,
0.798,5.1,0.00544,0.93883,1.90374,0.02773,1e-05,0.0,
0.799,5.09875,0.00585,1.57612,2.05369,0.02985,1e-05,0.0,
0.8,5.09875,0.00481,3.14491,0.24449,0.02452,1e-05,0.0,
0.801,5.09875,0.00544,1.81898,0.1035,0.02772,1e-05,0.0,
0.802,5.09875,0.00565,2.46035,1.40743,0.02879,1e-05,0.0,
0.803,5.09875,0.00481,2.09281,0.00652,0.02452,1e-05,0.0,
0.804,5.09875,0.00481,1.88988,0.15647,0.02452,1e-05,0.0,
0.805,5.1,0.00544,1.84587,0.08802,0.02773,1e-05,0.0,
0.806,5.09625,0.00523,2.57363,2.23135,0.02664,1e-05,0.0,
0.807,5.09875,0.00544,2.16289,2.49458,0.02772,1e-05,0.0,
0.808,5.09875,0.00502,2.16289,2.49458,0.02559,1e-05,0.0,
0.809,5.0975,0.00544,1.11732,1.26075,0.02771,1e-05,0.0,
0.81,5.1,0.00523,1.63238,2.88417,0.02666,1e-05,0.0,
0.811,5.1,0.00544,2.7008,2.35852,0.02773,1e-05,0.0,
0.812,5.10125,0.00502,2.80349,2.973,0.0256,1e-05,0.0,
0.813,5.10125,0.00502,1.06516,2.67065,0.0256,1e-05,0.0,
0.814,5.09875,0.00544,1.81901,0.01548,0.02772,1e-05,0.0,
0.815,5.09625,0.00585,2.04475,0.01956,0.02984,1e-05,0.0,
0.816,5.09875,0.00544,1.3504,1.18089,0.02772,1e-05,0.0,
0.817,5.09875,0.00544,2.87113,2.1018,0.02772,1e-05,0.0,
0.818,5.09875,0.00502,1.66498,0.02608,0.02559,1e-05,0.0,
0.819,5.10375,0.00565,1.66498,0.02608,0.02881,1e-05,0.0,
0.82,5.10125,0.00502,1.54441,0.0163,0.0256,1e-05,0.0,
0.821,5.09875,0.00481,2.59819,2.81172,0.02452,1e-05,0.0,
0.822,5.09875,0.00481,1.76364,0.46454,0.02452,1e-05,0.0,
0.823,5.1,0.00585,2.0114,0.00489,0.02986,1e-05,0.0,
0.824,5.09875,0.00606,2.14913,0.26406,0.03092,1e-05,0.0,
0.825,5.09875,0.00544,1.39526,0.00815,0.02772,1e-05,0.0,
0.826,5.10125,0.00544,3.14994,0.00978,0.02773,1e-05,0.0,
0.827,5.09875,0.00544,1.72941,0.99347,0.02772,1e-05,0.0,
0.828,5.09875,0.00565,1.98124,1.84514,0.02879,1e-05,0.0,
0.829,5.09875,0.00544,2.23715,1.33984,0.02772,1e-05,0.0,
0.83,5.0975,0.00606,2.23715,1.33984,0.03091,1e-05,0.0,
0.831,5.0975,0.00606,3.19241,0.01712,0.03091,1e-05,0.0,
0.832,5.1,0.00606,1.97886,1.66019,0.03093,1e-05,0.0,
